Date,Team,Pitcher,SO_Projection,Model_Id,OU,Over_Odds,Scale_Over,Under_Odds,Scale_Over,BE_Over,BE_Under,Poisson_Over,Poison_Under,Edge_Over,Edge_Under,OverUnder_Id,Platform,Bet_Amt,Win_Loss,Net,Net_Auto,Secondary
6/17/2022,SEA,Robbie Ray,6.60,1,6.5,-152,-0.657894737,120,1.2,0.603,0.455,0.489,0.511,-11.401%,5.629%,1,2,5.00,L,-5.00,-5.00,
6/18/2022,CHC,Justin Steele,5.11,1,5.5,125,1.25,-165,-0.606060606,0.444,0.623,0.403,0.597,-4.111%,-2.597%,0,1,0.00,,,,
6/18/2022,ATL,Kyle Wright,6.34,1,5.5,-120,-0.833333333,-110,-0.909090909,0.545,0.524,0.607,0.393,6.182%,-13.109%,2,1,6.00,W,5.00,5.00,
6/18/2022,NYY,Jameson Taillon,4.20,1,4.5,110,1.1,-135,-0.740740741,0.476,0.574,0.410,0.590,-6.602%,1.536%,0,1,0.00,,,,
6/18/2022,TOR,Alex Manoah,5.44,1,5.5,-142,-0.704225352,112,1.12,0.587,0.472,0.461,0.539,-12.601%,6.753%,1,2,5.00,W,5.60,5.60,
6/18/2022,BAL,Kyle Bradish,5.01,1,3.5,-150,-0.666666667,110,1.1,0.600,0.476,0.736,0.264,13.638%,-21.257%,2,1,25.00,L,-25.00,-25.00,
6/18/2022,TB,Jeffrey Springs,5.97,1,5.5,-105,-0.952380952,-130,-0.769230769,0.512,0.565,0.549,0.451,3.729%,-11.471%,0,1,0.00,,,,
6/18/2022,SF,Alex Wood,5.52,1,5.5,-110,-0.909090909,-120,-0.833333333,0.524,0.545,0.475,0.525,-4.930%,-1.996%,0,1,0.00,,,,
6/18/2022,PIT,Jose Quintana,4.15,1,4.5,-115,-0.869565217,-115,-0.869565217,0.535,0.535,0.400,0.600,-13.444%,6.468%,1,1,11.50,L,-11.50,-11.50,
6/18/2022,KC,Brad Keller,4.45,1,3.5,-160,-0.625,126,1.26,0.615,0.442,0.649,0.351,3.381%,-9.168%,0,2,0.00,,,,
6/18/2022,OAK,Cole Irvin,4.00,1,3.5,-142,-0.704225352,112,1.12,0.587,0.472,0.567,0.433,-2.025%,-3.823%,0,2,0.00,,,,
6/18/2022,MIA,Braxton Garrett,4.00,1,4.5,125,1.25,-165,-0.606060606,0.444,0.623,0.371,0.629,-7.328%,0.620%,0,1,0.00,,,,
6/18/2022,NYM,Taijuan Walker,4.71,1,4.5,-120,-0.833333333,-110,-0.909090909,0.545,0.524,0.507,0.493,-3.822%,-3.105%,0,1,0.00,,,,
6/18/2022,CWS,Johnny Cueto,3.56,1,3.5,115,1.15,-150,-0.666666667,0.465,0.600,0.476,0.524,1.114%,-7.626%,0,1,0.00,,,,
6/18/2022,HOU,Justin Verlander,6.77,1,6.5,-136,-0.735294118,100,1,0.576,0.500,0.515,0.485,-6.078%,-1.549%,0,1,0.00,,,,
6/18/2022,TEX,Taylor Hearn,4.60,1,4.5,105,1.05,-140,-0.714285714,0.488,0.583,0.487,0.513,-0.104%,-7.010%,0,1,0.00,,,,
6/18/2022,DET,Rony Garcia,4.88,1,4.5,-125,-0.8,-105,-0.952380952,0.556,0.512,0.538,0.462,-1.735%,-5.040%,0,1,0.00,,,,
6/18/2022,MIL,Jason Alexander,2.72,1,3.5,130,1.3,-170,-0.588235294,0.435,0.630,0.290,0.710,-14.446%,8.005%,1,1,17.00,W,10.00,10.00,
6/18/2022,CIN,Graham Ashcraft,3.50,1,4.5,116,1.16,-148,-0.675675676,0.463,0.597,0.275,0.725,-18.841%,12.867%,1,2,14.80,W,10.00,10.00,
6/18/2022,PHI,Aaron Nola,5.86,1,6.5,-106,-0.943396226,-118,-0.847457627,0.515,0.541,0.371,0.629,-14.334%,8.749%,1,2,11.80,L,-11.80,-11.80,
6/18/2022,WSH,Josiah Gray,4.83,1,5.5,115,1.15,-155,-0.64516129,0.465,0.608,0.354,0.646,-11.088%,3.792%,0,1,0.00,,,,
6/18/2022,CLE,Cal Quantrill,3.90,1,3.5,-140,-0.714285714,105,1.05,0.583,0.488,0.547,0.453,-3.658%,-3.456%,0,1,0.00,,,,
6/18/2022,LAD,Julio Urias,4.71,1,4.5,-115,-0.869565217,-115,-0.869565217,0.535,0.535,0.507,0.493,-2.764%,-4.212%,0,1,0.00,,,,
6/18/2022,STL,Dakota Hudson,3.54,1,3.5,135,1.35,-180,-0.555555556,0.426,0.643,0.472,0.528,4.644%,-11.483%,0,1,0.00,,,,
6/18/2022,BOS,Kutter Crawford,5.20,1,3.5,-164,-0.609756098,128,1.28,0.621,0.439,0.762,0.238,14.072%,-20.053%,2,2,16.40,L,-16.40,-16.40,
6/18/2022,COL,German Marquez,4.43,1,4.5,115,1.15,-145,-0.689655172,0.465,0.592,0.455,0.545,-1.056%,-4.640%,0,1,0.00,,,,
6/18/2022,SD,Nick Martinez,3.92,1,3.5,-160,-0.625,120,1.2,0.615,0.455,0.551,0.449,-6.464%,-0.529%,0,1,0.00,,,,
6/18/2022,MIN,Dylan Bundy,3.96,1,3.5,-120,-0.833333333,-110,-0.909090909,0.545,0.524,0.559,0.441,1.322%,-8.249%,0,1,0.00,,,,
6/18/2022,LAA,Patrick Sandoval,5.10,1,6.5,105,1.05,-140,-0.714285714,0.488,0.583,0.253,0.747,-23.522%,16.409%,1,1,100.00,W,71.42,71.42,
6/19/2022,COL,Antonio Senzatela,2.82,1,3.5,-104,-0.961538462,-122,-0.819672131,0.510,0.550,0.313,0.687,-19.729%,13.794%,1,2,24.40,W,20.00,20.00,
6/19/2022,OAK,Jared Koenig,4.50,1,3.5,-102,-0.980392157,-126,-0.793650794,0.505,0.558,0.658,0.342,15.275%,-21.523%,2,2,9.60,L,-9.60,-9.60,
6/19/2022,MIA,Sandy Alcantara,5.29,1,5.5,-115,-0.869565217,-110,-0.909090909,0.535,0.524,0.435,0.565,-10.010%,4.140%,0,1,0.00,,,,
6/19/2022,CLE,Shane Bieber,6.08,1,6.5,115,1.15,-155,-0.64516129,0.465,0.608,0.407,0.593,-5.857%,-1.439%,0,1,0.00,,,,
6/19/2022,SEA,Logan Gilbert,6.57,1,7.5,122,1.22,-156,-0.641025641,0.450,0.609,0.338,0.662,-11.295%,5.312%,1,2,15.60,W,10.00,10.00,
6/19/2022,BOS,Nick Pivetta,5.61,1,5.5,125,1.25,-170,-0.588235294,0.444,0.630,0.490,0.510,4.539%,-11.946%,0,1,0.00,,,,
6/19/2022,ARI,Merrill Kelly,4.14,1,4.5,-156,-0.641025641,122,1.22,0.609,0.450,0.398,0.602,-21.088%,15.106%,1,2,10.00,L,-10.00,-10.00,
6/19/2022,CWS,Michael Kopech,4.28,1,4.5,120,1.2,-170,-0.588235294,0.455,0.630,0.426,0.574,-2.885%,-5.532%,0,1,0.00,,,,
6/19/2022,PHI,Zach Eflin,3.76,1,4.5,120,1.2,-150,-0.666666667,0.455,0.600,0.324,0.676,-13.015%,7.561%,1,2,15.00,W,10.00,10.00,
6/19/2022,HOU,Christian Javier,6.78,1,6.5,125,1.25,-165,-0.606060606,0.444,0.623,0.517,0.483,7.258%,-13.966%,2,1,10.00,L,-10.00,-10.00,
6/19/2022,NYY,Luis Severino,5.29,1,6.5,100,1,-130,-0.769230769,0.500,0.565,0.281,0.719,-21.867%,15.345%,1,1,25.00,L,-25.00,-25.00,
6/19/2022,TB,Corey Kluber,4.24,1,4.5,-120,-0.833333333,-106,-0.943396226,0.545,0.515,0.418,0.582,-12.751%,6.749%,1,2,10.60,L,-10.60,-10.60,
6/19/2022,TEX,Dane Dunning,5.06,1,5.5,124,1.24,-158,-0.632911392,0.446,0.612,0.395,0.605,-5.186%,-0.697%,0,2,0.00,,,,
6/19/2022,SF,Alex Cobb,3.41,1,5.5,130,1.3,-166,-0.602409639,0.435,0.624,0.131,0.869,-30.406%,24.522%,1,2,16.60,W,10.00,10.00,
6/19/2022,NYM,Chris Bassitt,6.42,1,6.5,115,1.15,-150,-0.666666667,0.465,0.600,0.461,0.539,-0.428%,-6.084%,0,1,0.00,,,,
6/19/2022,MIL,Adrian Houser,3.96,1,4.5,130,1.3,-170,-0.588235294,0.435,0.630,0.363,0.637,-7.143%,0.702%,0,1,0.00,,,,
6/19/2022,SD,Blake Snell,4.76,1,5.5,115,1.15,-155,-0.64516129,0.465,0.608,0.342,0.658,-12.311%,5.015%,1,1,15.50,W,10.00,10.00,
6/19/2022,PIT,Mitch Keller,3.93,1,4.5,130,1.3,-175,-0.571428571,0.435,0.636,0.357,0.643,-7.729%,0.615%,0,1,0.00,,,,
6/19/2022,ATL,Ian Anderson,5.62,1,4.5,-150,-0.666666667,115,1.15,0.600,0.465,0.661,0.339,6.087%,-12.599%,2,1,15.00,W,10.00,10.00,
6/19/2022,KC,Brady Singer,4.95,1,4.5,-175,-0.571428571,125,1.25,0.636,0.444,0.551,0.449,-8.567%,0.487%,0,1,0.00,,,,
6/19/2022,CHC,Kyle Hendricks,3.72,1,3.5,-150,-0.666666667,110,1.1,0.600,0.476,0.510,0.490,-8.999%,1.380%,0,1,0.00,,,,
6/19/2022,MIN,Chris Archer,3.37,1,3.5,-110,-0.909090909,-120,-0.833333333,0.524,0.545,0.435,0.565,-8.874%,1.947%,0,1,0.00,,,,
6/19/2022,STL,Andre Pallante,3.49,1,2.5,-140,-0.714285714,105,1.05,0.583,0.488,0.677,0.323,9.397%,-16.510%,2,1,14.00,W,10.00,10.00,
6/19/2022,DET,Drew Hutchison,3.35,1,3.5,105,1.05,-135,-0.740740741,0.488,0.574,0.431,0.569,-5.712%,-0.515%,0,1,0.00,,,,
6/19/2022,TOR,Yusei Kikuchi,4.69,1,5.5,125,1.25,-156,-0.641025641,0.444,0.609,0.330,0.670,-11.462%,6.080%,1,2,15.60,W,10.00,10.00,
6/20/2022,MIA,Trevor Rodgers,4.44,1,4.5,105,1.05,-140,-0.714285714,0.488,0.583,0.456,0.544,-3.133%,-3.980%,0,1,0.00,,,,
6/20/2022,NYM,David Peterson,5.17,1,4.5,-150,-0.666666667,115,1.15,0.600,0.465,0.589,0.411,-1.119%,-5.393%,0,1,0.00,,,,
